"id","AREA_5000","CIUDAD_AUTO","PROVINCIA","REGION","ZONA","VIVIENDA","PERIODO","TIPO_VI","JEFEHOGAR"
"22767","Rural","NA","Pichincha","Sierra","999","12","Jan-14","Mediagua","Jefe de hogar"
"22768","Rural","NA","Pichincha","Sierra","999","1","Jan-14","Casa / villa","NA"
"22769","Rural","NA","Pichincha","Sierra","999","2","Jan-14","Mediagua","Jefe de hogar"
"22770","Rural","NA","Pichincha","Sierra","999","3","Jan-14","Casa / villa","NA"
"22771","Rural","NA","Pichincha","Sierra","999","4","Jan-14","Casa / villa","NA"
"22772","Rural","NA","Pichincha","Sierra","999","5","Jan-14","Mediagua","NA"
"22773","Rural","NA","Pichincha","Sierra","999","6","Jan-14","Casa / villa","Jefe de hogar"
"22774","Rural","NA","Pichincha","Sierra","999","7","Jan-14","Casa / villa","Cónyuge"
"22775","Rural","NA","Pichincha","Sierra","999","8","Jan-14","Casa / villa","Jefe(a) y cónyuge"
"22776","Rural","NA","Pichincha","Sierra","999","9","Jan-14","Mediagua","Jefe de hogar"
"22777","Rural","NA","Pichincha","Sierra","999","10","Jan-14","Casa / villa","NA"
"22778","Rural","NA","Pichincha","Sierra","999","11","Jan-14","Mediagua","NA"
"22779","Rural","NA","Pichincha","Sierra","999","12","Jan-14","Mediagua","NA"
"22780","Urbano","NA","Pichincha","Sierra","1","1","May-14","Casa / villa","Jefe(a) y cónyuge"
"22781","Urbano","NA","Pichincha","Sierra","1","2","May-14","Departamento en casa o edificio","NA"
"22782","Urbano","NA","Pichincha","Sierra","1","3","May-14","Departamento en casa o edificio","NA"
"22783","Urbano","NA","Pichincha","Sierra","1","4","May-14","Casa / villa","NA"
"22784","Urbano","NA","Pichincha","Sierra","1","5","May-14","Departamento en casa o edificio","Cónyuge"
"22785","Urbano","NA","Pichincha","Sierra","1","6","May-14","Departamento en casa o edificio","NA"
"22786","Urbano","NA","Pichincha","Sierra","1","7","May-14","Departamento en casa o edificio","NA"
"22787","Urbano","NA","Pichincha","Sierra","1","8","May-14","Casa / villa","NA"
"22788","Urbano","NA","Pichincha","Sierra","1","9","May-14","Casa / villa","NA"
"22789","Urbano","NA","Pichincha","Sierra","1","10","May-14","Departamento en casa o edificio","NA"
"22790","Urbano","NA","Pichincha","Sierra","1","11","May-14","Departamento en casa o edificio","NA"
"22791","Urbano","NA","Pichincha","Sierra","1","12","May-14","Departamento en casa o edificio","NA"
"22792","Urbano","NA","Pichincha","Sierra","4","1","Sep-14","Casa / villa","Jefe(a) y cónyuge"
"22793","Urbano","NA","Pichincha","Sierra","4","2","Sep-14","Casa / villa","NA"
"22794","Urbano","NA","Pichincha","Sierra","4","3","Sep-14","Casa / villa","Jefe de hogar"
"22795","Urbano","NA","Pichincha","Sierra","4","4","Sep-14","Casa / villa","Jefe de hogar"
"22796","Urbano","NA","Pichincha","Sierra","4","5","Sep-14","Casa / villa","NA"
"22797","Urbano","NA","Pichincha","Sierra","4","6","Sep-14","Casa / villa","Jefe(a) y cónyuge"
"22798","Urbano","NA","Pichincha","Sierra","4","7","Sep-14","Casa / villa","Cónyuge"
"22799","Urbano","NA","Pichincha","Sierra","4","8","Sep-14","Casa / villa","Otros miembros del hogar"
"22800","Urbano","NA","Pichincha","Sierra","4","9","Sep-14","Casa / villa","Jefe de hogar"
"22801","Urbano","NA","Pichincha","Sierra","4","10","Sep-14","Casa / villa","Jefe de hogar"
"22802","Urbano","NA","Pichincha","Sierra","4","11","Sep-14","Casa / villa","Jefe(a) y cónyuge"
"22803","Urbano","NA","Pichincha","Sierra","4","12","Sep-14","Casa / villa","NA"
"22804","Urbano","NA","Pichincha","Sierra","7","1","Jul-14","Casa / villa","Jefe de hogar"
"22805","Urbano","NA","Pichincha","Sierra","7","2","Jul-14","Casa / villa","Jefe(a) y cónyuge"
"22806","Urbano","NA","Pichincha","Sierra","7","3","Jul-14","Casa / villa","Otros miembros del hogar"
"22807","Urbano","NA","Pichincha","Sierra","7","4","Jul-14","Casa / villa","NA"
"22808","Urbano","NA","Pichincha","Sierra","7","5","Jul-14","Casa / villa","NA"
"22809","Urbano","NA","Pichincha","Sierra","7","6","Jul-14","Departamento en casa o edificio","NA"
"22810","Urbano","NA","Pichincha","Sierra","7","7","Jul-14","Departamento en casa o edificio","NA"
"22811","Urbano","NA","Pichincha","Sierra","7","8","Jul-14","Departamento en casa o edificio","NA"
"22812","Urbano","NA","Pichincha","Sierra","7","9","Jul-14","Casa / villa","NA"
"22813","Urbano","NA","Pichincha","Sierra","7","10","Jul-14","Casa / villa","Otros miembros del hogar"
"22814","Urbano","NA","Pichincha","Sierra","7","11","Jul-14","Casa / villa","NA"
"22815","Urbano","NA","Pichincha","Sierra","7","12","Jul-14","Casa / villa","Jefe(a) y cónyuge"
"22816","Urbano","NA","Pichincha","Sierra","9","1","Jul-14","Casa / villa","NA"
"22817","Urbano","NA","Pichincha","Sierra","9","2","Jul-14","Casa / villa","Jefe(a) y cónyuge"
"22818","Urbano","NA","Pichincha","Sierra","9","3","Jul-14","Casa / villa","Jefe(a) y cónyuge"
"22819","Urbano","NA","Pichincha","Sierra","9","4","Jul-14","Casa / villa","NA"
"22820","Urbano","NA","Pichincha","Sierra","9","5","Jul-14","Casa / villa","NA"
"22821","Urbano","NA","Pichincha","Sierra","9","6","Jul-14","Casa / villa","Otros miembros del hogar"
"22822","Urbano","NA","Pichincha","Sierra","9","7","Jul-14","Casa / villa","NA"
"22823","Urbano","NA","Pichincha","Sierra","9","8","Jul-14","Casa / villa","NA"
"22824","Urbano","NA","Pichincha","Sierra","9","9","Jul-14","Mediagua","NA"
"22825","Urbano","NA","Pichincha","Sierra","9","10","Jul-14","Casa / villa","Jefe(a) y cónyuge"
"22826","Urbano","NA","Pichincha","Sierra","9","11","Jul-14","Departamento en casa o edificio","Jefe de hogar"
"22827","Urbano","NA","Pichincha","Sierra","9","12","Jul-14","Casa / villa","NA"
"22828","Urbano","NA","Pichincha","Sierra","13","1","Sep-14","Casa / villa","NA"
"22829","Urbano","NA","Pichincha","Sierra","13","2","Sep-14","Casa / villa","Jefe(a) y cónyuge"
